,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,Label 2_f1-score,Label 2_precision,Label 2_recall,Label 2_support,Label 3_f1-score,Label 3_precision,Label 3_recall,Label 3_support,Label 4_f1-score,Label 4_precision,Label 4_recall,Label 4_support,accuracy,gamma_unbalanced,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_star_unbalanced,mu_unbalanced,non_consensus_px,std,unbalanced_agents,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
34,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Weighted Mean - 3x3 Conv Entropy,,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
35,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Weighted Mean - 5x5 Conv Entropy,,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
36,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Weighted Mean - Mean Entropy,,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
37,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Weighted Mean - Pixelwise Entropy,,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
38,1.0,1.0,1.0,297.6333333333333,1.0,1.0,1.0,50.233333333333334,1.0,1.0,1.0,49.63333333333333,1.0,1.0,1.0,50.733333333333334,1.0,1.0,1.0,50.56666666666667,1.0,0.6,1.0,1.0,1.0,498.8,Majority Voting,,,,,0.2000002,0.6,498.8,0.01,1,1.0,1.0,1.0,498.8
39,1.0,1.0,1.0,297.6333333333333,1.0,1.0,1.0,50.233333333333334,1.0,1.0,1.0,49.63333333333333,1.0,1.0,1.0,50.733333333333334,1.0,1.0,1.0,50.56666666666667,1.0,0.6,1.0,1.0,1.0,498.8,Maximum Proposal,,,,,0.2000002,0.6,498.8,0.01,1,1.0,1.0,1.0,498.8
40,1.0,1.0,1.0,297.6333333333333,1.0,1.0,1.0,50.233333333333334,1.0,1.0,1.0,49.63333333333333,1.0,1.0,1.0,50.733333333333334,1.0,1.0,1.0,50.56666666666667,1.0,0.6,1.0,1.0,1.0,498.8,Mean Proposal,,,,,0.2000002,0.6,498.8,0.01,1,1.0,1.0,1.0,498.8
41,1.0,1.0,1.0,297.6333333333333,1.0,1.0,1.0,50.233333333333334,1.0,1.0,1.0,49.63333333333333,1.0,1.0,1.0,50.733333333333334,1.0,1.0,1.0,50.56666666666667,1.0,0.6,1.0,1.0,1.0,498.8,Negotiation - 3x3 Conv Entropy,,,,,0.2000002,0.6,498.8,0.01,1,1.0,1.0,1.0,498.8
42,1.0,1.0,1.0,297.6333333333333,1.0,1.0,1.0,50.233333333333334,1.0,1.0,1.0,49.63333333333333,1.0,1.0,1.0,50.733333333333334,1.0,1.0,1.0,50.56666666666667,1.0,0.6,1.0,1.0,1.0,498.8,Negotiation - 3x3 Conv Entropy (Mean-Weighted),,,,,0.2000002,0.6,498.8,0.01,1,1.0,1.0,1.0,498.8
43,1.0,1.0,1.0,297.6333333333333,1.0,1.0,1.0,50.233333333333334,1.0,1.0,1.0,49.63333333333333,1.0,1.0,1.0,50.733333333333334,1.0,1.0,1.0,50.56666666666667,1.0,0.6,1.0,1.0,1.0,498.8,Negotiation - 3x3 Conv Entropy (Weighted),,,,,0.2000002,0.6,498.8,0.01,1,1.0,1.0,1.0,498.8
